Date : 2026-06-24 04:10:20
Directory : d:\code\accessible_dialer
Total : 73 files,  15497 codes, 2546 comments, 1126 blanks, all 19169 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Kotlin       |         54 |     13,813 |      2,408 |        882 |     17,103 |
| XML          |         12 |      1,394 |        101 |        173 |      1,668 |
| Markdown     |          1 |        147 |          0 |         29 |        176 |
| Kotlinscript |          3 |         91 |          7 |         18 |        116 |
| Batch        |          1 |         41 |         30 |         22 |         93 |
| Properties   |          2 |         11 |          0 |          2 |         13 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         73 |     15,497 |      2,546 |      1,126 |     19,169 |
| . (Files)                                                                                                  |          6 |        213 |         30 |         55 |        298 |
| app                                                                                                        |         66 |     15,277 |      2,516 |      1,070 |     18,863 |
| app (Files)                                                                                                |          1 |         71 |          7 |         15 |         93 |
| app\src                                                                                                    |         65 |     15,206 |      2,509 |      1,055 |     18,770 |
| app\src\main                                                                                               |         65 |     15,206 |      2,509 |      1,055 |     18,770 |
| app\src\main (Files)                                                                                       |          1 |        105 |         37 |         10 |        152 |
| app\src\main\java                                                                                          |         54 |     13,813 |      2,408 |        882 |     17,103 |
| app\src\main\java\com                                                                                      |         54 |     13,813 |      2,408 |        882 |     17,103 |
| app\src\main\java\com\accessible                                                                           |         54 |     13,813 |      2,408 |        882 |     17,103 |
| app\src\main\java\com\accessible\dialer                                                                    |         54 |     13,813 |      2,408 |        882 |     17,103 |
| app\src\main\java\com\accessible\dialer (Files)                                                            |          2 |        266 |         52 |         23 |        341 |
| app\src\main\java\com\accessible\dialer\blocking                                                           |          3 |        196 |         79 |         29 |        304 |
| app\src\main\java\com\accessible\dialer\call                                                               |         10 |      1,599 |        469 |        139 |      2,207 |
| app\src\main\java\com\accessible\dialer\settings                                                           |          1 |        248 |         87 |         50 |        385 |
| app\src\main\java\com\accessible\dialer\ui                                                                 |         26 |     10,075 |      1,270 |        498 |     11,843 |
| app\src\main\java\com\accessible\dialer\ui (Files)                                                         |          1 |        560 |        137 |         27 |        724 |
| app\src\main\java\com\accessible\dialer\ui\blocking                                                        |          1 |        181 |          0 |          9 |        190 |
| app\src\main\java\com\accessible\dialer\ui\contacts                                                        |          9 |      5,534 |        589 |        283 |      6,406 |
| app\src\main\java\com\accessible\dialer\ui\dialpad                                                         |          1 |        615 |        117 |         28 |        760 |
| app\src\main\java\com\accessible\dialer\ui\favorites                                                       |          1 |         60 |          0 |          6 |         66 |
| app\src\main\java\com\accessible\dialer\ui\help                                                            |          1 |        106 |          8 |          7 |        121 |
| app\src\main\java\com\accessible\dialer\ui\recents                                                         |          2 |      1,004 |        270 |         46 |      1,320 |
